accuracy_m,altitude_m,bearing_degrees,latitude,longitude,speed_m_s,time_usec,vertical_accuracy_m
3.2160000801086426,211.906494140625,116.19999694824219,55.74698124,48.7421894,4.840000152587891,89413760747,4.0
3.2160000801086426,212.11712646484375,101.4000015258789,55.74697132,48.74225782,4.150000095367432,89414755697,4.0
3.2160000801086426,211.982177734375,83.5999984741211,55.74697075,48.74231486,3.7200000286102295,89415759477,6.0
3.2160000801086426,212.2286376953125,63.79999923706055,55.7469851,48.74237748,4.079999923706055,89416749618,6.0
3.2160000801086426,213.0738525390625,44.70000076293945,55.74700685,48.74242297,3.940000057220459,89417749487,6.0
3.2160000801086426,213.05413818359375,32.599998474121094,55.74703405,48.74245767,4.300000190734863,89418764844,6.0
4.288000106811523,213.42547607421875,25.899999618530273,55.74707197,48.74249116,4.949999809265137,89419753158,6.0
4.288000106811523,213.9541015625,24.5,55.74711432,48.74252856,5.619999885559082,89420757046,6.0
4.288000106811523,214.072998046875,24.200000762939453,55.74716355,48.74256545,6.079999923706055,89421756360,6.0
5.360000133514404,214.3660888671875,24.399999618530273,55.74721477,48.74261186,6.329999923706055,89422760784,6.0
5.360000133514404,214.90130615234375,24.5,55.7472651,48.74265333,6.46999979019165,89423757001,8.0
6.432000160217285,215.68170166015625,25.0,55.74730938,48.74269332,6.460000038146973,89424770616,8.0
6.432000160217285,215.54736328125,25.700000762939453,55.74736371,48.74273724,6.71999979019165,89425766509,8.0
7.504000186920166,216.685302734375,25.799999237060547,55.74742372,48.74278599,7.110000133514404,89426773484,12.0
7.504000186920166,217.68768310546875,26.0,55.74748135,48.74283825,7.71999979019165,89427769498,12.0
7.504000186920166,219.18450927734375,25.899999618530273,55.74755765,48.74290072,8.229999542236328,89428751697,12.0
7.504000186920166,222.4886474609375,25.399999618530273,55.74765008,48.7429657,8.760000228881836,89429752573,12.0
9.648000717163086,224.94879150390625,25.0,55.74772279,48.74302082,8.699999809265137,89430767241,12.0
8.576000213623047,222.31927490234375,26.5,55.74772911,48.74306483,7.179999828338623,89431763503,12.0
7.504000186920166,222.24737548828125,26.299999237060547,55.74778632,48.74312077,6.920000076293945,89432775858,12.0
7.504000186920166,222.10198974609375,26.200000762939453,55.74784333,48.74317419,6.670000076293945,89433769625,12.0
7.504000186920166,223.31842041015625,26.200000762939453,55.74789879,48.7432263,6.46999979019165,89434765588,12.0
16.079999923706055,225.2598876953125,26.700000762939453,55.7479633,48.74328324,6.25,89435761720,24.0
16.079999923706055,227.24346923828125,27.200000762939453,55.74803859,48.74334753,6.039999961853027,89436754714,24.0
16.079999923706055,227.769287109375,28.0,55.74808448,48.74339149,5.809999942779541,89437766311,24.0
17.152000427246094,227.0423583984375,30.5,55.74813398,48.74344272,4.429999828338623,89438749459,24.0
17.152000427246094,226.53466796875,35.0,55.74816056,48.74347968,3.869999885559082,89439767230,24.0
15.008000373840332,226.29144287109375,44.20000076293945,55.74817863,48.74351256,3.0899999141693115,89440766572,24.0
7.504000186920166,226.2254638671875,60.599998474121094,55.74819059,48.74355237,2.9200000762939453,89441787960,12.0
7.504000186920166,226.85321044921875,83.5,55.74819647,48.74360152,3.009999990463257,89442765629,12.0
7.504000186920166,225.096923828125,108.80000305175781,55.74818103,48.74364295,3.2799999713897705,89443754209,12.0
6.432000160217285,223.443359375,121.30000305175781,55.74815551,48.74368654,4.019999980926514,89444754324,8.0
6.432000160217285,223.37030029296875,120.80000305175781,55.74812436,48.74377255,5.150000095367432,89445759717,12.0
6.432000160217285,222.9307861328125,118.19999694824219,55.74810343,48.74384922,5.389999866485596,89446753041,8.0
5.360000133514404,223.037841796875,117.30000305175781,55.74807537,48.74392905,5.900000095367432,89447752389,8.0
5.360000133514404,223.39599609375,116.9000015258789,55.74804923,48.74401113,6.070000171661377,89448753661,8.0
4.288000106811523,223.1973876953125,117.0,55.74801728,48.74409707,6.349999904632568,89449753078,8.0
4.288000106811523,223.228271484375,117.30000305175781,55.74799187,48.7441847,6.230000019073486,89450749047,6.0
4.288000106811523,223.1768798828125,117.30000305175781,55.74796673,48.74427106,5.929999828338623,89451750984,6.0
3.2160000801086426,223.39422607421875,117.5,55.74794019,48.74435535,6.079999923706055,89452748837,6.0
3.2160000801086426,222.9283447265625,118.19999694824219,55.74791031,48.74444242,6.5,89453766352,6.0
3.2160000801086426,222.90435791015625,118.5999984741211,55.74787862,48.74453427,6.579999923706055,89454747807,6.0
3.2160000801086426,222.6619873046875,119.0,55.74784939,48.74462518,6.510000228881836,89455764268,6.0
3.2160000801086426,222.032470703125,119.5,55.74782046,48.74471501,6.340000152587891,89456774650,6.0
3.2160000801086426,221.615234375,119.4000015258789,55.74779453,48.74479534,5.809999942779541,89457758924,6.0
3.2160000801086426,221.601806640625,119.0999984741211,55.74777326,48.74487385,5.059999942779541,89458768698,6.0
3.2160000801086426,220.771240234375,118.9000015258789,55.74774739,48.74494503,4.159999847412109,89459760070,6.0
3.2160000801086426,220.72991943359375,117.5999984741211,55.74773014,48.74499355,3.2100000381469727,89460757339,6.0
3.2160000801086426,220.68121337890625,113.5999984741211,55.74771909,48.74503861,3.059999942779541,89461766342,6.0
3.2160000801086426,219.57666015625,103.19999694824219,55.74770794,48.74509105,3.880000114440918,89462763265,6.0
4.288000106811523,219.659423828125,79.5,55.74771429,48.74515395,4.28000020980835,89463756894,6.0
4.288000106811523,219.95709228515625,53.900001525878906,55.74773617,48.74521505,4.679999828338623,89464758628,6.0
4.288000106811523,220.456298828125,39.29999923706055,55.74777067,48.74527117,5.300000190734863,89465759264,6.0
4.288000106811523,219.3626708984375,30.200000762939453,55.74781745,48.74532416,6.170000076293945,89466756845,6.0
4.288000106811523,218.3465576171875,26.700000762939453,55.74787668,48.74538402,7.25,89467753961,6.0
4.288000106811523,218.1593017578125,26.399999618530273,55.74793603,48.74543627,7.409999847412109,89468756520,6.0
3.2160000801086426,218.0369873046875,26.799999237060547,55.74799726,48.74549207,7.610000133514404,89469755449,6.0
4.288000106811523,217.9775390625,27.399999618530273,55.74805957,48.74554611,7.96999979019165,89470762215,6.0
4.288000106811523,217.6649169921875,27.700000762939453,55.74811988,48.74560408,8.09000015258789,89471756172,6.0
3.2160000801086426,217.7694091796875,27.899999618530273,55.74818387,48.7456661,8.119999885559082,89472750436,6.0
3.2160000801086426,217.886962890625,27.899999618530273,55.74824953,48.74572959,8.359999656677246,89473755163,6.0
3.2160000801086426,217.95782470703125,28.399999618530273,55.74831613,48.74579363,8.579999923706055,89474788324,6.0
3.2160000801086426,217.90020751953125,28.700000762939453,55.74838256,48.74585754,8.579999923706055,89475775048,6.0
3.2160000801086426,217.46795654296875,28.5,55.74844809,48.745921,8.5600004196167,89476750905,6.0
3.2160000801086426,217.28350830078125,27.899999618530273,55.74852342,48.74598521,8.850000381469727,89477757615,4.0
3.2160000801086426,217.68719482421875,28.100000381469727,55.74859527,48.74604869,9.050000190734863,89478781040,4.0
3.2160000801086426,217.63623046875,28.200000762939453,55.74866202,48.74611041,8.289999961853027,89479765947,4.0
3.2160000801086426,217.4735107421875,28.299999237060547,55.74872379,48.74617214,7.670000076293945,89480756430,6.0
3.2160000801086426,217.34320068359375,28.299999237060547,55.74877949,48.74622786,6.989999771118164,89481761375,6.0
3.2160000801086426,217.73297119140625,28.200000762939453,55.74883174,48.74627504,6.360000133514404,89482772496,4.0
3.2160000801086426,217.3153076171875,27.700000762939453,55.74887316,48.74631809,5.590000152587891,89483755799,6.0
3.2160000801086426,217.0306396484375,27.799999237060547,55.74891555,48.74635147,5.460000038146973,89484763606,6.0
4.288000106811523,216.97784423828125,28.5,55.74895539,48.74639603,5.099999904632568,89485768114,6.0
4.288000106811523,216.72149658203125,29.0,55.74899048,48.74642908,4.619999885559082,89486770184,6.0
4.288000106811523,217.22802734375,28.0,55.74903774,48.74647759,5.559999942779541,89487766395,6.0
3.2160000801086426,217.14117431640625,27.5,55.74908448,48.74651633,6.090000152587891,89488756531,6.0
3.2160000801086426,217.14666748046875,27.0,55.74913535,48.74655621,6.480000019073486,89489797427,6.0
3.2160000801086426,217.8094482421875,23.899999618530273,55.74918932,48.74659919,6.389999866485596,89490760974,6.0
3.2160000801086426,217.7239990234375,21.299999237060547,55.74924464,48.74663255,6.400000095367432,89491766197,6.0
3.2160000801086426,217.591796875,23.399999618530273,55.74930072,48.74667145,6.730000019073486,89492757366,4.0
3.2160000801086426,217.26873779296875,25.799999237060547,55.74935616,48.74671814,6.900000095367432,89493765909,4.0
3.2160000801086426,217.063232421875,27.5,55.74941337,48.74676473,6.989999771118164,89494755239,4.0
3.2160000801086426,216.88604736328125,27.399999618530273,55.7494713,48.74681868,7.199999809265137,89495754869,4.0
3.2160000801086426,216.6156005859375,26.799999237060547,55.74953149,48.74687023,7.360000133514404,89496763570,4.0
3.2160000801086426,216.633544921875,26.399999618530273,55.74959202,48.74692075,7.449999809265137,89497780906,4.0
3.2160000801086426,216.377197265625,26.600000381469727,55.74964955,48.74697269,7.25,89498772455,4.0
3.2160000801086426,215.7464599609375,27.0,55.7497047,48.7470204,6.889999866485596,89499761810,4.0
4.288000106811523,214.583984375,27.200000762939453,55.74975672,48.74707061,6.869999885559082,89500751171,6.0
4.288000106811523,214.021728515625,27.5,55.74981228,48.74712196,6.940000057220459,89501776122,6.0
5.360000133514404,213.39898681640625,28.100000381469727,55.74986778,48.7471775,6.880000114440918,89502766176,6.0
4.288000106811523,213.0369873046875,28.200000762939453,55.74992545,48.74722941,6.920000076293945,89503760507,6.0
4.288000106811523,213.26287841796875,28.700000762939453,55.74998293,48.74729068,7.059999942779541,89504766178,6.0
4.288000106811523,212.82440185546875,29.399999618530273,55.7500391,48.74734635,6.96999979019165,89505756430,6.0
3.2160000801086426,212.1097412109375,30.200000762939453,55.75009151,48.74740043,6.710000038146973,89506759380,6.0
4.288000106811523,212.7244873046875,28.899999618530273,55.75013735,48.74744767,6.179999828338623,89507759429,6.0
4.288000106811523,212.25048828125,28.5,55.7501797,48.7474916,5.769999980926514,89508760873,6.0
4.288000106811523,211.00341796875,27.899999618530273,55.75022454,48.74752259,5.800000190734863,89509763081,6.0
4.288000106811523,211.31494140625,29.100000381469727,55.75026602,48.74755336,5.360000133514404,89510761465,6.0
4.288000106811523,211.13360595703125,31.200000762939453,55.7503071,48.74759681,5.460000038146973,89511755483,6.0
3.2160000801086426,210.572509765625,31.200000762939453,55.75035385,48.74764503,5.5,89512761817,6.0
3.2160000801086426,210.6903076171875,30.399999618530273,55.75040684,48.74770355,6.210000038146973,89513760638,6.0
3.2160000801086426,210.4229736328125,30.700000762939453,55.7504542,48.74775379,5.949999809265137,89514760585,6.0
